full_id,supervised assignments
2008_SKT_0135,FWR
2008_SKT_0136,FWR
2008_SKT_0137,MIG
2008_SKT_0139,FWR
2008_SKT_0142,MIG
2008_SKT_0143,MIG
2008_SKT_0144,MIG
2008_SKT_0145,BWR
2008_SKT_0147,MIG
2008_SKT_0149,MIG
2008_SKT_0150,MIG
2008_SKT_0152,MIG
2008_SKT_0153,MIG
2008_SKT_0154,FWR
2008_SKT_0155,FWR
2008_SKT_0156,MIG
2008_SKT_0157,FWR
2008_SKT_0158,FWR
2008_SKT_0160,FWR
2008_SKT_0161,FWR
2008_SKT_0163,MIG
2008_SKT_0164,FWR
2008_SKT_0165,FWR
2008_SKT_0166,FWR
2008_SKT_0167,FWR
2008_SKT_0168,MIG
2008_SKT_0169,MIG
2008_SKT_0171,MIG
2008_SKT_0173,MIG
2008_SKT_0174,MIG
2008_SKT_0175,MIG
2008_SKT_0176,MIG
2008_SKT_0179,MIG
2008_SKT_0180,MIG
2008_SKT_0181,MIG
2008_SKT_0182,MIG
2008_SKT_0183,MIG
2008_SKT_0184,MIG
2008_SKT_0185,MIG
2008_SKT_0186,MIG
2008_SKT_0187,MIG
2008_SKT_0188,MIG
2008_SKT_0189,MIG
2008_SKT_0190,FWR
2008_SKT_0192,MIG
2008_SKT_0194,MIG
2008_SKT_0195,MIG
2008_SKT_0196,FWR
2008_SKT_0197,MIG
2008_SKT_0198,MIG
2008_SKT_0199,MIG
2008_SKT_0201,FWR
2008_SKT_0202,MIG
2008_SKT_0203,MIG
2008_SKT_0204,MIG
2008_SKT_0208,MIG
2008_SKT_0209,MIG
2008_SKT_0210,FWR
2008_SKT_0211,FWR
2008_SKT_0212,FWR
2008_SKT_0213,FWR
2008_SKT_0214,MIG
2008_SKT_0215,FWR
2008_SKT_0216,FWR
2008_SKT_0218,FWR
2008_SKT_0220,MIG
2008_SKT_0221,MIG
2008_SKT_0223,MIG
2008_SKT_0224,MIG
2008_SKT_0226,FWR
2008_SKT_0228,MIG
2008_SKT_0230,FWR
2008_SKT_0231,FWR
2008_SKT_0233,MIG
2008_SKT_0234,FWR
2008_SKT_0236,MIG
2008_SKT_0237,FWR
2008_SKT_0238,FWR
2010_SKT_0001,MIG
2010_SKT_0002,MIG
2010_SKT_0004,MIG
2010_SKT_0005,MIG
2010_SKT_0006,MIG
2010_SKT_0007,MIG
2010_SKT_0008,MIG
2010_SKT_0010,MIG
2010_SKT_0011,MIG
2010_SKT_0014,MIG
2010_SKT_0015,MIG
2010_SKT_0016,MIG
2010_SKT_0017,FWR
2010_SKT_0019,FWR
2010_SKT_0020,FWR
2010_SKT_0021,MIG
2010_SKT_0022,MIG
2010_SKT_0025,MIG
2010_SKT_0026,MIG
2010_SKT_0027,MIG
2010_SKT_0029,MIG
2010_SKT_0031,MIG
2010_SKT_0034,MIG
2010_SKT_0036,MIG
2010_SKT_0040,MIG
2010_SKT_0042,MIG
2010_SKT_0051,MIG
2010_SKT_0054,MIG
2010_SKT_0056,MIG
2010_SKT_0057,MIG
2010_SKT_0060,MIG
2010_SKT_0061,MIG
2010_SKT_0067,MIG
2010_SKT_0068,MIG
2010_SKT_0070,MIG
2010_SKT_0072,MIG
2010_SKT_0075,MIG
2010_SKT_0076,MIG
2010_SKT_0078,MIG
2010_SKT_0081,MIG
2010_SKT_0082,MIG
2010_SKT_0083,MIG
2010_SKT_0084,MIG
2010_SKT_0086,MIG
2010_SKT_0088,MIG
2010_SKT_0089,MIG
2010_SKT_0091,FWR
2010_SKT_0092,MIG
2010_SKT_0095,MIG
2010_SKT_0097,MIG
2010_SKT_0100,MIG
2010_SKT_0103,MIG
2010_SKT_0105,MIG
2010_SKT_0107,MIG
2010_SKT_0108,MIG
2010_SKT_0110,MIG
2010_SKT_0112,MIG
2010_SKT_0113,MIG
2010_SKT_0116,MIG
2010_SKT_0118,MIG
2010_SKT_0120,MIG
2010_SKT_0122,MIG
2010_SKT_0123,MIG
2010_SKT_0127,MIG
2010_SKT_0130,MIG
2010_SKT_0133,MIG
2010_SKT_0134,MIG
2010_SKT_0138,MIG
2010_SKT_0142,MIG
2010_SKT_0143,MIG
2010_SKT_0146,MIG
2010_SKT_0147,MIG
2010_SKT_0154,MIG
2010_SKT_0158,FWR
2010_SKT_0163,MIG
2010_SKT_0166,MIG
2010_SKT_0170,MIG
2010_SKT_0171,MIG
2010_SKT_0172,MIG
2010_SKT_0176,MIG
2010_SKT_0178,MIG
2010_SKT_0180,MIG
2010_SKT_0183,MIG
2010_SKT_0186,MIG
2010_SKT_0189,MIG
2010_SKT_0190,MIG
