"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"376","2005_SKT_0537","2005_SKT_0537","MIG","MIG",0,"FWM1"
"377","2005_SKT_0539","2005_SKT_0539","MIG","MIG",0,"FWM1"
"378","2005_SKT_0545","2005_SKT_0545","MIG","MIG",0,"FWM1"
"379","2005_SKT_0547","2005_SKT_0547","MIG","MIG",0,"FWM1"
"380","2005_SKT_0548","2005_SKT_0548","MIG","MIG",0,"FWM1"
"381","2005_SKT_0555","2005_SKT_0555","FWR","FWR",0,"FWR1"
"382","2005_SKT_0556","2005_SKT_0556","MIG","FWR",1,"FWR2"
"383","2005_SKT_0559","2005_SKT_0559","MIG","MIG",0,"FWM1"
"384","2005_SKT_0560","2005_SKT_0560","FWR","FWR",0,"FWR1"
"385","2005_SKT_0565","2005_SKT_0565","MIG","MIG",0,"FWM1"
"386","2006_SKT_0001","2006_SKT_0001","MIG","MIG",0,"FWM1"
"387","2006_SKT_0003","2006_SKT_0003","MIG","MIG",0,"FWM2"
"388","2006_SKT_0004","2006_SKT_0004","MIG","BWR",1,"BWR1"
"389","2006_SKT_0005","2006_SKT_0005","BWR","BWR",0,"BWR1"
"390","2006_SKT_0006","2006_SKT_0006","MIG","MIG",0,"FWM1"
"391","2006_SKT_0007","2006_SKT_0007","MIG","MIG",0,"FWM1"
"392","2006_SKT_0008","2006_SKT_0008","MIG","MIG",0,"FWM1"
"393","2006_SKT_0009","2006_SKT_0009","MIG","BWR",1,"BWR1"
"394","2006_SKT_0010","2006_SKT_0010","MIG","MIG",0,"FWM2"
"395","2006_SKT_0011","2006_SKT_0011","MIG","MIG",0,"FWM1"
"396","2006_SKT_0012","2006_SKT_0012","MIG","MIG",0,"FWM1"
"397","2006_SKT_0013","2006_SKT_0013","BWR","BWR",0,"BWR1"
"398","2006_SKT_0014","2006_SKT_0014","BWR","BWR",0,"BWR1"
"399","2006_SKT_0015","2006_SKT_0015","MIG","MIG",0,"FWM2"
"400","2006_SKT_0016","2006_SKT_0016","FWR","FWR",0,"FWR1"
"401","2006_SKT_0017","2006_SKT_0017","MIG","FWR",1,"FWR2"
"402","2006_SKT_0018","2006_SKT_0018","MIG","MIG",0,"FWM1"
"403","2006_SKT_0020","2006_SKT_0020","MIG","MIG",0,"FWM1"
"404","2006_SKT_0021","2006_SKT_0021","MIG","MIG",0,"FWM1"
"405","2006_SKT_0022","2006_SKT_0022","MIG","MIG",0,"FWM1"
